Date,Open,High,Low,Close,Adj Close,Volume
2000/5/11,140.125,141.5,139.125,141.281204,101.613388,7091100
2000/5/12,141.8125,143.468704,141.625,142.8125,102.714722,5960800
2000/5/15,142.75,145.609299,142,145.281204,104.490273,4441300
2000/5/16,146.5625,147.718704,145.3125,146.6875,105.501724,8192200
2000/5/17,145.6875,146.1875,144.468704,145.156204,104.400391,5907200
2000/5/18,145.625,146.3125,143.375,143.375,103.119308,4325600
2000/5/19,142.5625,143.234299,140.406204,141.125,101.501053,6518400
2000/5/22,141.25,141.468704,137,140.0625,100.736877,10839400
2000/5/23,140.4375,140.8125,137.5625,138,99.253487,7979200
2000/5/24,138,140.6875,136.5,140.25,100.87175,11081500
2000/5/25,140.6875,141.8125,137.718704,137.843704,99.141022,8278900
2000/5/26,138.8125,139.6875,137.328094,138,99.253487,4814000
2000/5/30,140,142.9375,139.468704,142.5,102.489983,5362700
2000/5/31,142.5625,144,142.093704,142.8125,102.714722,6056500
2000/6/1,143.6875,145.4375,143,145.3125,104.512825,8961600
2000/6/2,148.9375,149.093704,147.484299,147.843704,106.33326,8962200
2000/6/5,147.468704,148.218704,146.875,147.125,105.816414,6998100
2000/6/6,146.625,147.781204,145.906204,146.468704,105.344383,4858900
2000/6/7,146.625,148,146,147.484299,106.074799,4919500
2000/6/8,147.5,147.75,146.0625,146.906204,105.659035,5723100
2000/6/9,147.5,147.968704,145.625,146.593704,105.434311,3085300
2000/6/12,146.968704,146.968704,144.875,144.875,104.198181,3678900
2000/6/13,144.8125,147.75,144.625,147.593704,106.153503,6558700
2000/6/14,148.25,148.875,147.1875,147.843704,106.33326,6420500
2000/6/15,148.125,148.75,146.843704,148.156204,106.558044,5881200
2000/6/16,148.3125,148.3125,145.875,146.593704,105.682556,5567900
2000/6/19,146.468704,149.156204,146.25,148.468704,107.034218,5106900
2000/6/20,148.1875,148.875,147,147.9375,106.651268,6480000
2000/6/21,146.9375,148.4375,146.890594,147.875,106.606224,3115000
2000/6/22,147.5625,147.6875,145,145.625,104.984116,7490500
2000/6/23,145.8125,146.125,143.875,144.375,104.082993,4863300
2000/6/26,145.375,146.25,144.875,146.234299,105.423409,5201300
2000/6/27,145.984299,146.718704,145.015594,145.156204,104.646202,4159500
2000/6/28,145.625,146.984299,145.3125,145.5625,104.939125,5347700
2000/6/29,144.75,145.75,143.515594,144.1875,103.947823,6345700
2000/6/30,143.9375,145.593704,143.890594,145.281204,104.736328,7420200
2000/7/3,145.4375,147.4375,145.1875,147.281204,106.178162,1436600
2000/7/5,146.375,146.656204,144.375,144.625,104.263252,2748200
